"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-3-5","5,078.65","5,110.52","5,114.54","5,056.82","","-1.02%"
"2024-3-4","5,130.95","5,130.99","5,149.67","5,127.18","","-0.12%"
"2024-3-1","5,137.08","5,098.51","5,140.33","5,094.16","","0.80%"
"2024-2-29","5,096.27","5,085.36","5,104.99","5,061.89","","0.52%"
"2024-2-28","5,069.76","5,067.20","5,077.37","5,058.35","","-0.17%"
"2024-2-27","5,078.18","5,074.60","5,080.69","5,057.29","","0.17%"
"2024-2-26","5,069.53","5,093.00","5,097.66","5,068.91","","-0.38%"
"2024-2-23","5,088.80","5,100.92","5,111.06","5,081.46","","0.03%"
"2024-2-22","5,087.03","5,038.83","5,094.39","5,038.83","","2.11%"
"2024-2-21","4,981.80","4,963.03","4,983.21","4,946.00","","0.13%"
"2024-2-20","4,975.51","4,989.32","4,993.71","4,955.02","","-0.60%"
"2024-2-16","5,005.57","5,031.13","5,038.70","4,999.52","","-0.48%"
"2024-2-15","5,029.73","5,003.14","5,032.72","4,999.44","","0.58%"
"2024-2-14","5,000.62","4,976.44","5,002.52","4,956.45","","0.96%"
"2024-2-13","4,953.17","4,967.94","4,971.30","4,920.31","","-1.37%"
"2024-2-12","5,021.84","5,026.83","5,048.39","5,016.83","","-0.09%"
"2024-2-9","5,026.61","5,004.17","5,030.06","5,000.34","","0.57%"
"2024-2-8","4,997.91","4,995.16","5,000.40","4,987.09","","0.06%"
"2024-2-7","4,995.06","4,973.05","4,999.89","4,969.05","","0.82%"
"2024-2-6","4,954.23","4,950.16","4,957.77","4,934.88","","0.23%"
"2024-2-5","4,942.81","4,957.19","4,957.19","4,918.09","","-0.32%"
"2024-2-2","4,958.61","4,916.06","4,975.29","4,907.99","","1.07%"
"2024-2-1","4,906.19","4,861.11","4,906.97","4,853.52","","1.25%"
"2024-1-31","4,845.65","4,899.19","4,906.75","4,845.15","","-1.61%"
"2024-1-30","4,924.97","4,925.89","4,931.09","4,916.27","","-0.06%"
"2024-1-29","4,927.93","4,892.95","4,929.31","4,887.40","","0.76%"
"2024-1-26","4,890.97","4,888.91","4,906.69","4,881.47","","-0.07%"
"2024-1-25","4,894.16","4,886.66","4,898.15","4,869.34","","0.53%"
"2024-1-24","4,868.55","4,888.56","4,903.68","4,865.94","","0.08%"
"2024-1-23","4,864.60","4,856.80","4,866.48","4,844.37","","0.29%"
"2024-1-22","4,850.43","4,853.42","4,868.41","4,844.05","","0.22%"
"2024-1-19","4,839.81","4,796.28","4,842.07","4,785.87","","1.23%"
"2024-1-18","4,780.94","4,760.10","4,785.79","4,740.57","","0.88%"
"2024-1-17","4,739.21","4,739.13","4,744.23","4,714.82","","-0.56%"
"2024-1-16","4,765.98","4,772.35","4,782.34","4,747.12","","-0.37%"
"2024-1-12","4,783.83","4,791.18","4,802.40","4,768.98","","0.08%"
"2024-1-11","4,780.24","4,792.13","4,798.50","4,739.58","","-0.07%"
"2024-1-10","4,783.45","4,759.94","4,790.80","4,756.20","","0.57%"
"2024-1-9","4,756.50","4,741.93","4,765.47","4,730.35","","-0.15%"
"2024-1-8","4,763.54","4,703.70","4,764.54","4,699.82","","1.41%"
"2024-1-5","4,697.24","4,690.57","4,721.49","4,682.11","","0.18%"
"2024-1-4","4,688.68","4,697.42","4,726.78","4,687.53","","-0.34%"
"2024-1-3","4,704.81","4,725.07","4,729.29","4,699.71","","-0.80%"
"2024-1-2","4,742.83","4,745.20","4,754.33","4,722.67","","-0.57%"
"2023-12-29","4,769.83","4,782.88","4,788.43","4,751.99","","-0.28%"
"2023-12-28","4,783.35","4,786.44","4,793.30","4,780.98","","0.04%"
"2023-12-27","4,781.58","4,773.45","4,785.39","4,768.90","","0.14%"
"2023-12-26","4,774.75","4,758.86","4,784.72","4,758.45","","0.42%"
"2023-12-22","4,754.63","4,753.92","4,772.94","4,736.77","","0.17%"
"2023-12-21","4,746.75","4,724.29","4,748.71","4,708.35","","1.03%"
"2023-12-20","4,698.35","4,764.73","4,778.01","4,697.82","","-1.47%"
"2023-12-19","4,768.37","4,743.72","4,768.69","4,743.72","","0.59%"
"2023-12-18","4,740.56","4,725.58","4,749.52","4,725.58","","0.45%"
"2023-12-15","4,719.19","4,714.23","4,725.53","4,704.69","","-0.01%"
"2023-12-14","4,719.55","4,721.04","4,738.57","4,694.34","","0.26%"
"2023-12-13","4,707.09","4,646.20","4,709.69","4,643.23","","1.37%"
"2023-12-12","4,643.70","4,618.30","4,643.93","4,608.09","","0.46%"
"2023-12-11","4,622.44","4,593.39","4,623.71","4,593.39","","0.39%"
"2023-12-8","4,604.37","4,576.20","4,609.23","4,574.06","","0.41%"
"2023-12-7","4,585.59","4,568.84","4,590.92","4,565.22","","0.80%"
"2023-12-6","4,549.34","4,586.23","4,590.74","4,546.50","","-0.39%"
"2023-12-5","4,567.18","4,557.25","4,578.56","4,551.68","","-0.06%"
"2023-12-4","4,569.78","4,564.37","4,572.37","4,546.72","","-0.54%"
"2023-12-1","4,594.63","4,559.43","4,599.39","4,554.71","","0.59%"
"2023-11-30","4,567.80","4,554.87","4,569.89","4,537.24","","0.38%"
"2023-11-29","4,550.58","4,571.84","4,587.64","4,547.15","","-0.09%"
"2023-11-28","4,554.89","4,545.55","4,568.14","4,540.51","","0.10%"
"2023-11-27","4,550.43","4,554.86","4,560.52","4,546.32","","-0.20%"
"2023-11-24","4,559.34","4,555.84","4,560.31","4,552.80","","0.06%"
"2023-11-22","4,556.62","4,553.04","4,568.43","4,545.05","","0.41%"
"2023-11-21","4,538.19","4,538.77","4,542.14","4,525.51","","-0.20%"
"2023-11-20","4,547.38","4,511.70","4,557.11","4,510.36","","0.74%"
"2023-11-17","4,514.02","4,509.55","4,520.12","4,499.66","","0.13%"
"2023-11-16","4,508.24","4,497.08","4,511.99","4,487.83","","0.12%"
"2023-11-15","4,502.88","4,505.30","4,521.17","4,495.31","","0.16%"
"2023-11-14","4,495.70","4,458.97","4,508.67","4,458.97","","1.91%"
"2023-11-13","4,411.55","4,406.66","4,421.76","4,393.82","","-0.08%"
"2023-11-10","4,415.24","4,364.15","4,418.03","4,353.34","","1.56%"
"2023-11-9","4,347.35","4,391.41","4,393.40","4,343.94","","-0.81%"
"2023-11-8","4,382.78","4,384.37","4,391.20","4,359.76","","0.10%"
"2023-11-7","4,378.38","4,366.21","4,386.26","4,355.41","","0.28%"
"2023-11-6","4,365.98","4,364.27","4,372.21","4,347.53","","0.18%"
"2023-11-3","4,358.34","4,334.23","4,373.62","4,334.23","","0.94%"
"2023-11-2","4,317.78","4,268.26","4,319.72","4,268.26","","1.89%"
"2023-11-1","4,237.86","4,201.27","4,245.64","4,197.74","","1.05%"
"2023-10-31","4,193.80","4,171.33","4,195.55","4,153.12","","0.65%"
"2023-10-30","4,166.82","4,139.39","4,177.47","4,132.94","","1.20%"
"2023-10-27","4,117.37","4,152.93","4,156.70","4,103.78","","-0.48%"
"2023-10-26","4,137.23","4,175.99","4,183.60","4,127.90","","-1.18%"
"2023-10-25","4,186.77","4,232.42","4,232.42","4,181.42","","-1.43%"
"2023-10-24","4,247.68","4,235.79","4,259.38","4,219.43","","0.73%"
"2023-10-23","4,217.04","4,210.40","4,255.84","4,189.22","","-0.17%"
"2023-10-20","4,224.16","4,273.85","4,276.56","4,223.03","","-1.26%"
"2023-10-19","4,278.00","4,321.36","4,339.54","4,269.69","","-0.85%"
"2023-10-18","4,314.60","4,357.35","4,364.20","4,303.84","","-1.34%"
